Community	Subject	Time	Prevotella copri	Parabacteroides johnsonii	Bacteroides vulgatus	Bacteroides fragilis	Bacteroides ovatus	Bacteroides thetaiotaomicron	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides uniformis	Desulfovibrio piger	Bifidobacterium longum	Bifidobacterium adolescentis	Bifidobacterium pseudocatenulatum	Collinsella aerofaciens	Eggerthella lenta	Faecalibacterium prausnitzii	Clostridium hiranonis	Anaerostipes caccae	Blautia hydrogenotrophica	Clostridium asparagiforme	Eubacterium rectale	Roseburia intestinalis	Coprococcus comes	Dorea longicatena	Dorea formicigenerans	Butyrate	Acetate	Lactate	Succinate
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF	subject5	32	0.190505403934375	0.0188177435658191	0.0737189954124874	0.312917735790374	0	0.403320503848845	0	0	0	0	0.0178477567840759	0	0	0.0479173470181168	0.00465593655236762	0.000193997356348651	0.302247881191198	0	0.00387994712697302	0	0	0	0.0215337065547003	0	0.264418396703211	1.34385928	50.64574076	35.03694536	27.46253472
PC-PJ-BV-BF-BT-BL-CA-EL-FP-CH-BH-CC-DF	subject5	48	0.250241225025071	0.0143250790712027	0.019846203296562	0.401699092288308	0	0.648657486692895	0	0	0	0	0.0138774203502276	0	0	0.0174586901180282	0.00716253953560133	0.000298439147316722	0.255314690529456	0	0.00283517189950886	0	0	0	0.023576692638021	0	0.27680230913626	1.31193784	49.6557606	39.24518723	31.84851502
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF	subject6	16	0	0.0202185649599443	0	0	0	0	0.508930163706026	0.1761903517938	0	0	0	0.366629977940323	0	0.124584871705561	0.0063544061302682	0.000770231046093115	0	0.30539660977592	0	0	0.385693196331127	0	0.0319645884128643	0	0.28305990943922	33.14176576	22.82110616	15.89560104	11.76774951
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF	subject6	32	0	0.0130778756984045	0	0	0	0	0.357399660157825	0.0922924370715972	0	0	0	0.144417113069524	0	0.152450665284258	0.00952816658026611	0.00168144116122343	0	0.540303093139796	0	0	0.447637002476816	0	0.0659498588790968	0	0.336848712631761	50.14434176	22.811398	1.08035787	15.47420239
PJ-BC-BY-BA-CA-EL-FP-AC-ER-CC-DF	subject6	48	0	0.00704014598540146	0	0	0	0	0.213998088286409	0.0633613138686131	0	0	0	0.0830290232881474	0	0.138903197775461	0.00983385470976712	0.000111748348974626	0	0.327310914146681	0	0	0.24081769204032	0	0.0699544664581161	0	0.344184914841849	54.66457768	19.79975656	0.87911634	14.49736523
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF	subject7	16	0	0.0278779921059333	0.0933529093455564	0	0.202051502419149	0.474693149987268	0	0.156525974025974	0.0851685446906035	0	0	0	0	0.400010822510822	0.00588251209574739	0	0	0.538121976063152	0	0.0470600967659791	0	0	0	0	0.645541762159409	35.9369416	32.12392684	6.29535647	25.1074308
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF	subject7	32	0	0.023454356846473	0.0343997233748271	0	0.0732669432918396	0.263805670816044	0	0.081978561549101	0.0451217150760719	0	0	0	0	0.188304979253112	0.0350698478561549	0	0	0.4965622406639	0	0.0241244813278008	0	0	0	0	0.563127939142462	40.5963564	25.24189732	1.55627296	25.8638813
PJ-BV-BO-BT-BY-BU-CA-EL-AC-CG-DF	subject7	48	0	0.0189255666478307	0.0401958937653042	0	0.0495749356438752	0.286228260187104	0	0.0656532931499968	0.0385210648584165	0	0	0	0	0.242012777045269	0.0293095058705343	0	0	0.400284108746154	0	0.0222752244616061	0	0	0	0	0.583510391159666	42.69463336	25.39299632	1.28169957	27.09612088
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF	subject8	16	0.0135087004047387	0.0157232414546959	0	0	0	0.244817513072764	0	0.108401784395403	0.0897996395757629	0.0095225265148158	0	0.272388549144731	0	0.0411904635292032	0	0.000885816419982865	0.0285675795444474	0	0.000885816419982865	0.0212595940795888	0.112387958285326	0.00398617388992289	0.0118477946172708	0.192886525451269	0.0807200212709386	2.83805248	52.8594928	49.69036575	8.75910855
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF	subject8	32	0.0256231504707893	0.0160302468462573	0	0	0	0.254338168466209	0	0.102492601883157	0.0602080924855491	0.00517511906060276	0	0.149447340676919	0	0.0102240157050933	0	0.0010097793288981	0.0879770240302468	0	0.000757334496673574	0.0251182608063402	0.0966863707419929	0.00189333624168394	0.0114862398662159	0.205994983095212	0.102492601883157	2.77227656	51.50138268	48.06335267	10.72094492
PC-PJ-BT-BY-BU-DP-BA-CA-FP-CH-BH-CG-ER-RI-CC-DL-DF	subject8	48	0.0322389498751234	0.0175236103850845	0	0	0	0.324748446303072	0	0.145805424870767	0.0638039147354359	0.00415624092466748	0	0.0716670732415636	0	0.0267347389208341	0	0.00123563919382006	0.109185572399373	0	0.00089864668641459	0.0308909798455015	0.118509031770924	0.00123563919382006	0.0142660161468316	0.2093846779346	0.116936400069699	3.19497576	50.37010624	48.20212151	11.85325311
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF	subject9	16	0	0	0.0276130138196727	0	0	0	0	0	0.163253525607041	0.00996762450075991	0	0.358430389142191	0	0.020608737143463	0.00431032410843672	0.00107758102710918	0.131195490050543	0	0	0.0350213833810483	0	0.00552260276393454	0	0.386447495847029	0.126076980171774	1.12429864	53.59144236	39.45163389	7.87109259
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF	subject9	32	0	0	0.0386832293903146	0	0	0	0	0	0.156845312340251	0.0124103193265856	0	0.15961783048768	0	0.0530739188222063	0.00660123368435402	0.000792148042122482	0.214540094741506	0	0	0.0489811539379068	0	0.00277251814742869	0	0.359107112428859	0.233815697099819	0.7934276	51.39340304	45.71303057	9.83286864
BV-BU-DP-BA-CA-EL-FP-CH-CG-RI-DL-DF	subject9	48	0	0	0.0493580360426627	0	0	0	0	0	0.119311511585142	0.00864061542233664	0	0.138604940541866	0	0.0216607208532549	0.0131384700257448	0.00106528135343876	0.271410015937232	0	0	0.0723207674390094	0	0.00307747946548976	0	0.296148216255976	0.292360549221528	0.98530664	52.34810444	48.20825414	12.60873849
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG	subject10	16	1.18616636944568	0.0267881185911725	0	0.385979343141626	0	0	0.51387100609303	0	0.0987991900728191	0.00921741714965077	0	0	0	0.0826687100609303	0	0.00115217714370635	0.129043840095111	0.110609005795809	0	0.0385979343141626	0	0	0	0	0	14.5200264	48.8072422	25.82883666	31.83840765
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG	subject10	32	0.591110171482264	0.0209425260355493	0	0.251605277582022	0	0	0.479318377574191	0	0.0920291284942448	0.00973385012919896	0	0	0	0.213554772531517	0.00117986062172109	0.000294965155430272	0.366936653355258	0.448052071098583	0	0.0356907838070629	0	0	0	0	0	14.92650208	43.7177472	24.53021794	38.11791192
PC-PJ-BF-BC-BU-DP-CA-EL-FP-CH-AC-CG	subject10	48	0.606966560509554	0.0184501061571125	0	0.224126857749469	0	0	0.414917728237792	0	0.0748487261146497	0.00461252653927813	0	0	0	0.0599628450106157	0.000628980891719745	0.00041932059447983	0.292476114649682	0.497523885350318	0	0.0423513800424628	0	0	0	0	0	16.75571272	37.07129028	24.50966083	40.83159939
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL	subject11	16	0	0	0	0	0.342256024617087	0	0.531617881962452	0.17072281575217	0.121558966912146	0	0	0.203948933374823	0.283097327386509	0	0	0	0.0618600076064032	0.0734756422224527	0	0.0372780831863915	0	0	0.0153974691422052	0.760959132870034	0	18.2513484	67.49368508	30.12283147	13.03976636
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL	subject11	32	0	0	0	0	0.206649906122636	0	0.353145761780464	0.0987874708064295	0.076488986582406	0	0	0.0362998580391079	0.150385126162019	0	0	0	0.0495233777533544	0.441302559875441	0	0.0308548793332417	0	0	0.0150385126162019	0.427819755460915	0	17.95540056	55.96203004	28.47169226	13.04396614
BO-BC-BY-BU-BA-BP-CH-AC-CG-CC-DL	subject11	48	0	0	0	0	0.188589430610774	0	0.254223803213132	0.0961543558624538	0.0347862174792495	0	0	0.0118141870684244	0.0683691381274558	0	0	0	0.0394900141824185	0.534920136709214	0	0.0240659366208644	0	0	0.00962637464834577	0.305856176326986	0	19.34414088	51.14916244	26.13087889	16.66000311
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL	subject12	16	0.0406304894374245	0	0.0280210271982238	0.23285473601724	0	0.270262807326868	0	0	0	0	0.0183537728148366	0	0	0.0172329317269076	0	0	0.0863047637705293	0	0.00336252326378685	0.0295621836941261	0.422697195285206	0.0022416821758579	0.0107880954713162	0.266199758383126	0	5.84280256	55.5838452	40.85999441	16.49077158
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL	subject12	32	0.0590127500628524	0	0.0258709190819955	0.213392809682865	0	0.34257831411845	0	0	0	0	0.0201218259526631	0	0	0.0138654599001544	0	0	0.109570951406098	0	0.00219818266709765	0.0388909241101893	0.379440146535934	0.00219818266709765	0.0131890960025859	0.347481952375822	0	6.57977552	59.64871956	45.71582791	17.37861035
PC-BV-BF-BT-BL-CA-CH-BH-CG-ER-RI-CC-DL	subject12	48	0.106923329855512	0	0.0125792152771191	0.278777609156154	0	0.595847829523539	0	0	0	0	0.0177588921559328	0	0	0.00776951531822062	0	0	0.131711783489835	0	0.00314480381927977	0.0625260994656802	0.36979193145531	0.00277482689936451	0.0164639729362294	0.343523570141326	0	6.22692272	57.15808796	47.05898889	21.09880488
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF	subject13	16	0	0	0	0	0	0	0.743964353741497	0	0.155879829931973	0.0119779591836735	0.0104807142857143	0	0.209115204081633	0.030277619047619	0.0013308843537415	0.000332721088435374	0	0	0.00149724489795918	0	0	0	0	0.306768843537415	0.154881666666667	0.30539048	61.39043596	54.17905765	11.98589679
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF	subject13	32	0	0	0	0	0	0	0.775864641620037	0	0.125267633512238	0.00815598949411899	0.032623957976476	0	0.279604050093259	0.0353426211411823	0.00439168665067946	0.000209127935746641	0	0	0.0010456396787332	0	0	0	0	0.339205511781051	0.227112938220852	0.72099992	52.58407892	55.56850088	11.82875188
BC-BU-DP-BL-BP-CA-EL-FP-BH-DL-DF	subject13	48	0	0	0	0	0	0	0.94975782173291	0	0.104214934378304	0.00760076506810972	0.0143570006842073	0	0.163669807799963	0.0128368476705853	0.00253358835603657	0.000168905890402438	0	0	0.00118234123281707	0	0	0	0	0.292882813957828	0.260115071219755	1.76906968	55.35610532	59.45763081	13.98110143
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG	subject14	16	0	0.0276468253968254	0	0.25603364389234	0	0	0.886381262939959	0	0.197855106970324	0	0	0	0.226223153899241	0.172371946169772	0.0012020358868185	0.000961628709454796	0.0586593512767426	0.461822187715666	0	0.031974154589372	0	0	0	0	0	39.45740456	37.1693884	7.85269575	23.93151125
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG	subject14	32	0	0.0195358925401132	0	0.235458915351891	0	0	0.448502964526178	0	0.0590189595685526	0	0	0	0.13572304291026	0.166157907078016	0.0129553813687067	0.00164512779285164	0.561194218336516	0.380641443071048	0	0.0246769168927746	0	0	0	0	0	43.48798568	34.19913272	1.17199858	25.50339767
PJ-BF-BC-BU-BP-CA-EL-FP-CH-AC-CG	subject14	48	0	0.0158440404040404	0	0.31593771043771	0	0	0.417792255892256	0	0.0537565656565657	0	0	0	0.137315016835017	0.180886127946128	0.00735616161616162	0.000377239057239057	0.210876632996633	0.475887070707071	0	0.0507386531986532	0	0	0	0	0	46.92036976	31.54492808	1.04203728	28.09726323
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF	subject15	16	0	0	0	0	0.103169119297233	0	0.191725048892309	0.0930860184027444	0.0539226700009618	0	0	0.167028758295662	0	0.0651748260716232	0.00219197845532365	0	0	0.104922702061492	0	0	0	0.00175358276425892	0	0.397332628001667	0.335664967458562	24.38000792	45.69887376	26.04438024	10.01289368
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF	subject15	32	0	0	0	0	0.0584897119341564	0	0.190043621399177	0.113719341563786	0.0466	0	0	0.0826526748971193	0	0.17661975308642	0.00767078189300411	0	0	0.460246913580247	0	0	0	0.00210946502057613	0	0.377977777777778	0.265984362139918	31.51506296	38.39809316	17.35838726	10.88981453
BO-BC-BY-BU-BA-CA-EL-AC-RI-DL-DF	subject15	48	0	0	0	0	0.03678459404673	0	0.157203812368861	0.0530722998684164	0.0219609516696895	0	0	0.113281909029482	0	0.205883921903339	0.0236080230449162	0	0	0.400421352110672	0	0	0	0.000366015861161492	0	0.547925744158754	0.14951747928447	45.05076968	34.35942768	1.07531227	11.16595572
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER	subject16	16	0	0	0.0335678676637208	0.25008061409472	0	0	0	0.159963800135962	0.158027192386132	0.0281453659641967	0.0565489462950374	0	0	0.186947201450261	0.00542250169952413	0	0.0943773510083843	0	0.00129107183322003	0	0.540571776569227	0	0	0	0	6.36688416	42.62972408	36.61382892	18.47539383
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER	subject16	32	0	0	0.016128372330904	0.207364787111623	0	0	0	0.216580999872139	0.109374760260836	0.0155862421685206	0.0501470400204577	0	0	0.108019434854878	0.00325278097429996	0	0.318365937859609	0	0.0025751182713208	0	0.362414013553254	0	0	0	0	6.16384488	40.4754818	35.41231574	21.66082517
BV-BF-BY-BU-DP-BL-CA-EL-CH-BH-ER	subject16	48	0	0	0.0121446540880503	0.234699098279912	0	0	0	0.170317799499886	0.0616011972417974	0.00921823141623096	0.0283862999166477	0	0	0.202069485489126	0.0326296127907858	0	0.33419746912177	0	0.00219481700386451	0	0.199143062817307	0	0	0	0	6.33244568	39.02726388	35.3261547	24.27929375
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG	subject17	16	0	0	0.0544113662534715	0.243565061301903	0	0	0.727331572173677	0.229517035832825	0.168180586601639	0.0219624060150376	0.0320532412111359	0	0	0	0.00138501659554291	0	0.177282124229493	0.251875160875161	0	0.0375933075933076	0	0	0	0	0	14.077442	43.37844228	27.60369324	19.50152374
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG	subject17	32	0	0	0.0114255771274027	0.145386329244341	0	0	0.375388164461187	0.196387456131878	0.0766672784056151	0.00596117067516662	0.026162915741009	0	0	0	0.00132470459448147	0	0.344588782639493	0.499744808268135	0	0.030633793747384	0	0	0	0	0	15.508096	41.50118988	29.33168139	21.45295114
BV-BF-BC-BY-BU-DP-BL-EL-CH-AC-CG	subject17	48	0	0	0.00986395783839873	0.171710739739494	0	0	0.349261980830671	0.211945304606646	0.054251768111193	0.00441282324349417	0.0220641162174708	0	0	0	0.00129788918926299	0	0.245950001365337	0.485150978946506	0	0.0273854618934491	0	0	0	0	0	16.62176648	36.15114268	29.87791582	25.69858942
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF	subject18	16	0	0.0350653564475758	0	0.506866289669664	0	0	0	0	0	0.00536293686845277	0.0277772627545502	0.45942492506412	0.124447637588455	0.0178764562281759	0.00247520163159358	0	0	0	0.00151262321930719	0	0.161438150860604	0	0	0	0.13806124656222	3.12915312	55.42600092	55.97307267	7.07977336
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF	subject18	32	0	0.0280375600763711	0	0.460746263743499	0	0	0	0	0	0.00633106195272895	0.0124037132135098	0.217711007966291	0.210863124629666	0.0201560339719534	0.00245490157350714	0	0	0	0.00116284811376654	0	0.162540325235368	0	0	0	0.184763644742906	3.638734	61.89092628	59.43125642	7.21676762
PJ-BF-DP-BL-BA-BP-CA-EL-BH-ER-DF	subject18	48	0	0.0305271796583765	0	0.591145050909698	0	0	0	0	0	0.00449229399655038	0.00898458799310076	0.041553719468091	0.0982178823791242	0.00234824458910588	0.00285873254325933	0	0	0	0.00173565904412174	0	0.163049852556613	0	0	0	0.277603349468647	4.4250316	62.81001008	62.0930627	10.3376641
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF	subject19	16	0	0.0196304017372421	0.0232359857297968	0.228153342639988	0	0.290249511400652	0.575691577477897	0.166057173879324	0.0953476655808903	0	0	0	0	0	0	0	0.104361625562277	0.274224693655964	0	0	0	0.00480744532340624	0	0	0.3659667752443	21.73576104	45.05355692	14.87206769	25.32429628
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF	subject19	32	0	0.0127276459268762	0.0144745777207612	0.124281719050674	0	0.189167757109258	0.295730596536241	0.0865979046397263	0.0623904212101775	0	0	0	0	0	0	0	0.098077742142399	0.576986615351721	0	0	0	0.00449211032713278	0	0	0.474915886251871	21.9788744	35.78539248	14.47707512	27.94354902
PJ-BV-BF-BT-BC-BY-BU-CH-AC-RI-DF	subject19	48	0	0.00978727176032618	0.0120709685044023	0.158227560125273	0	0.217929917863263	0.347121905099569	0.10472380783549	0.0484469952136146	0	0	0	0	0	0	0	0.176986497665898	0.412696625893754	0	0	0	0.00293618152809785	0	0	0.348100632275601	22.36020304	33.26759064	16.94501164	32.94025047
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI	subject20	16	0.928893238434164	0.0329934756820878	0	0	0	0	0.564580664294187	0.147893831553974	0.0902129300118624	0	0	0	0	0.131743179122183	0.00761387900355872	0	0	0.408150059311981	0.000692170818505338	0	0.276406880189798	0.00184578884934757	0	0	0	39.88575104	6.5165036	7.46695592	24.87882554
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI	subject20	32	0.711425736863356	0.0271087270000577	0	0	0	0	0.327979927323066	0.112536886427871	0.0661666955067197	0	0	0	0	0.169251196862202	0.0192614639210936	0	0	0.453179442810175	0.00124842821710792	0	0.170856318855627	0.00124842821710792	0	0	0	47.40061632	7.45156804	1.59716087	28.46613511
PC-PJ-BC-BY-BU-CA-EL-AC-BH-ER-RI	subject20	48	0.589384045305181	0.0271841571698245	0	0	0	0	0.238616490712904	0.122394369479596	0.0499032836933977	0	0	0	0	0.167176000372882	0.0602779137243935	0	0	0.470404111025659	0.00170721760003729	0	0.150366473234053	0.000787946584632594	0	0	0	50.72597656	7.53032864	1.71732777	27.0112431
BY-BU-BP-CA-EL-FP-AC-BH-CG-ER-RI	subject21	16	0	0	0	0	0	0	0	0.595770217512549	0.367039524075107	0	0	0	0.396053392823945	0.198026696411972	0.0343659416248373	0.00281688046105224	0	0.426757389849414	0.00281688046105224	0.12619624465514	0.366194459936791	0.00845064138315672	0	0	0	51.88226152	15.20061032	2.50057184	11.54228089
BY-BU-BP-CA-EL-FP-AC-BH-CG-ER-RI	subject21	32	0	0	0	0	0	0	0	0.332010904584882	0.169087236679058	0	0	0	0.38563395291202	0.2631843866171	0.0152034696406444	0.00164361833952912	0	0.475005700123916	0.00184907063197026	0.0743737298636927	0.213875836431227	0.00123271375464684	0	0	0	55.39724656	18.90451764	1.54067983	13.29784925
BY-BU-BP-CA-EL-FP-AC-BH-CG-ER-RI	subject21	48	0	0	0	0	0	0	0	0.225913333841192	0.075368451791473	0	0	0	0.182036413498895	0.117613189101343	0.0332197252482161	0.000480053833066707	0	0.439921332622331	0.000960107666133415	0.0599107183667251	0.118285264467637	0.00105611843274676	0	0	0	55.9028504	16.84983128	1.0982512	12.80834491
PJ-BV-BF-BO-BU-DP-BL-CA-EL-FP-CH-AC	subject22	16	0	0.0361778549744938	0.0850815885832316	0.413045660814321	0.548667167402122	0	0	0	0.20179607548587	0.0303603104559822	0.0416318029605984	0	0	0.128349575939661	0.000908991331017432	0.0039995618564767	0.244336869777486	0.198523706694207	0	0	0	0	0	0	0	16.26853992	32.2801242	24.43264494	18.76508063
PJ-BV-BF-BO-BU-DP-BL-CA-EL-FP-CH-AC	subject22	32	0	0.0247946909289171	0.0333240646084645	0.294759285762966	0.325703060042254	0	0	0	0.10989007019696	0.0109096640087235	0.0192406801608396	0	0	0.17951356232536	0.000595072582294009	0.00357043549376406	0.401277277993594	0.53576368159204	0	0	0	0	0	0	0	16.6114472	38.97706828	21.85873969	30.2689755
PJ-BV-BF-BO-BU-DP-BL-CA-EL-FP-CH-AC	subject22	48	0	0.0187994552264215	0.0295184428555215	0.38242049710589	0.59036885711043	0	0	0	0.0816292134831461	0.00511213256157076	0.0143469526727954	0	0	0.0624999432527522	0.000824537509930768	0.00362796504369538	0.225758370219044	0.513686868686869	0	0	0	0	0	0	0	19.3691828	38.198871	21.70924895	37.32141271
PC-BF-BO-BT-BC-BU-BP-CA-EL-AC-BH-RI	subject23	16	0.27745748796304	0	0	0.328214216136484	0.152648966073864	0.363630291391834	0.386167793827057	0	0.0967786869277226	0	0	0	0.386925356934124	0.167610837438424	0.00454537864239793	0	0	0.0975362500347889	0.00132573543736606	0	0	0.00303025242826529	0	0	0	32.70559368	25.7946872	17.9159409	23.89721179
PC-BF-BO-BT-BC-BU-BP-CA-EL-AC-BH-RI	subject23	32	0.181956840742339	0	0	0.252462379513739	0.0694107322687383	0.281584232484535	0.267789670551	0	0.0615281254495756	0	0	0	0.27260681916271	0.255089915120127	0.0175169040425838	0	0	0.364132642785211	0.00175169040425838	0	0	0.00153272910372608	0	0	0	34.20733216	25.05580324	16.35761476	28.56132761
